series_name,timestamp,value,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
price,2010-09-13 00:00:00+00:00,0.0621,0.0618,0.0628,0.0614,0.0611,0.0615,0.0613,0.0622
price,2010-09-14 00:00:00+00:00,0.062,0.0621,0.0618,0.0628,0.0614,0.0611,0.0615,0.0613
price,2010-09-15 00:00:00+00:00,0.0615,0.062,0.0621,0.0618,0.0628,0.0614,0.0611,0.0615
price,2010-09-16 00:00:00+00:00,0.0619,0.0615,0.062,0.0621,0.0618,0.0628,0.0614,0.0611
price,2010-09-17 00:00:00+00:00,0.0599,0.0619,0.0615,0.062,0.0621,0.0618,0.0628,0.0614
price,2010-09-18 00:00:00+00:00,0.06,0.0599,0.0619,0.0615,0.062,0.0621,0.0618,0.0628
price,2010-09-19 00:00:00+00:00,0.0618,0.06,0.0599,0.0619,0.0615,0.062,0.0621,0.0618
price,2010-09-20 00:00:00+00:00,0.0621,0.0618,0.06,0.0599,0.0619,0.0615,0.062,0.0621
price,2010-09-21 00:00:00+00:00,0.0629,0.0621,0.0618,0.06,0.0599,0.0619,0.0615,0.062
price,2010-09-22 00:00:00+00:00,0.0623,0.0629,0.0621,0.0618,0.06,0.0599,0.0619,0.0615
price,2010-09-23 00:00:00+00:00,0.0622,0.0623,0.0629,0.0621,0.0618,0.06,0.0599,0.0619
price,2010-09-24 00:00:00+00:00,0.0621,0.0622,0.0623,0.0629,0.0621,0.0618,0.06,0.0599
price,2010-09-25 00:00:00+00:00,0.0621,0.0621,0.0622,0.0623,0.0629,0.0621,0.0618,0.06
price,2010-09-26 00:00:00+00:00,0.062,0.0621,0.0621,0.0622,0.0623,0.0629,0.0621,0.0618
price,2010-09-27 00:00:00+00:00,0.0621,0.062,0.0621,0.0621,0.0622,0.0623,0.0629,0.0621
price,2010-09-28 00:00:00+00:00,0.0619,0.0621,0.062,0.0621,0.0621,0.0622,0.0623,0.0629
price,2010-09-29 00:00:00+00:00,0.062,0.0619,0.0621,0.062,0.0621,0.0621,0.0622,0.0623
price,2010-09-30 00:00:00+00:00,0.0618,0.062,0.0619,0.0621,0.062,0.0621,0.0621,0.0622
price,2010-10-01 00:00:00+00:00,0.0619,0.0618,0.062,0.0619,0.0621,0.062,0.0621,0.0621
price,2010-10-02 00:00:00+00:00,0.0616,0.0619,0.0618,0.062,0.0619,0.0621,0.062,0.0621
price,2010-10-03 00:00:00+00:00,0.0613,0.0616,0.0619,0.0618,0.062,0.0619,0.0621,0.062
price,2010-10-04 00:00:00+00:00,0.0612,0.0613,0.0616,0.0619,0.0618,0.062,0.0619,0.0621
price,2010-10-05 00:00:00+00:00,0.0614,0.0612,0.0613,0.0616,0.0619,0.0618,0.062,0.0619
price,2010-10-06 00:00:00+00:00,0.0622,0.0614,0.0612,0.0613,0.0616,0.0619,0.0618,0.062
price,2010-10-07 00:00:00+00:00,0.0651,0.0622,0.0614,0.0612,0.0613,0.0616,0.0619,0.0618
price,2010-10-08 00:00:00+00:00,0.0769,0.0651,0.0622,0.0614,0.0612,0.0613,0.0616,0.0619
price,2010-10-09 00:00:00+00:00,0.0884,0.0769,0.0651,0.0622,0.0614,0.0612,0.0613,0.0616
price,2010-10-10 00:00:00+00:00,0.0948,0.0884,0.0769,0.0651,0.0622,0.0614,0.0612,0.0613
price,2010-10-11 00:00:00+00:00,0.093,0.0948,0.0884,0.0769,0.0651,0.0622,0.0614,0.0612
price,2010-10-12 00:00:00+00:00,0.0945,0.093,0.0948,0.0884,0.0769,0.0651,0.0622,0.0614
price,2010-10-13 00:00:00+00:00,0.0985,0.0945,0.093,0.0948,0.0884,0.0769,0.0651,0.0622
price,2010-10-14 00:00:00+00:00,0.103,0.0985,0.0945,0.093,0.0948,0.0884,0.0769,0.0651
price,2010-10-15 00:00:00+00:00,0.103,0.103,0.0985,0.0945,0.093,0.0948,0.0884,0.0769
price,2010-10-16 00:00:00+00:00,0.101,0.103,0.103,0.0985,0.0945,0.093,0.0948,0.0884
price,2010-10-17 00:00:00+00:00,0.102,0.101,0.103,0.103,0.0985,0.0945,0.093,0.0948
price,2010-10-18 00:00:00+00:00,0.103,0.102,0.101,0.103,0.103,0.0985,0.0945,0.093
price,2010-10-19 00:00:00+00:00,0.0985,0.103,0.102,0.101,0.103,0.103,0.0985,0.0945
price,2010-10-20 00:00:00+00:00,0.0995,0.0985,0.103,0.102,0.101,0.103,0.103,0.0985
price,2010-10-21 00:00:00+00:00,0.102,0.0995,0.0985,0.103,0.102,0.101,0.103,0.103
price,2010-10-22 00:00:00+00:00,0.105,0.102,0.0995,0.0985,0.103,0.102,0.101,0.103
price,2010-10-23 00:00:00+00:00,0.107,0.105,0.102,0.0995,0.0985,0.103,0.102,0.101
price,2010-10-24 00:00:00+00:00,0.112,0.107,0.105,0.102,0.0995,0.0985,0.103,0.102
price,2010-10-25 00:00:00+00:00,0.111,0.112,0.107,0.105,0.102,0.0995,0.0985,0.103
price,2010-10-26 00:00:00+00:00,0.142,0.111,0.112,0.107,0.105,0.102,0.0995,0.0985
price,2010-10-27 00:00:00+00:00,0.169,0.142,0.111,0.112,0.107,0.105,0.102,0.0995
price,2010-10-28 00:00:00+00:00,0.179,0.169,0.142,0.111,0.112,0.107,0.105,0.102
price,2010-10-29 00:00:00+00:00,0.185,0.179,0.169,0.142,0.111,0.112,0.107,0.105
price,2010-10-30 00:00:00+00:00,0.193,0.185,0.179,0.169,0.142,0.111,0.112,0.107
price,2010-10-31 00:00:00+00:00,0.193,0.193,0.185,0.179,0.169,0.142,0.111,0.112
price,2010-11-01 00:00:00+00:00,0.194,0.193,0.193,0.185,0.179,0.169,0.142,0.111
price,2010-11-02 00:00:00+00:00,0.193,0.194,0.193,0.193,0.185,0.179,0.169,0.142
price,2010-11-03 00:00:00+00:00,0.193,0.193,0.194,0.193,0.193,0.185,0.179,0.169
price,2010-11-04 00:00:00+00:00,0.214,0.193,0.193,0.194,0.193,0.193,0.185,0.179
price,2010-11-05 00:00:00+00:00,0.235,0.214,0.193,0.193,0.194,0.193,0.193,0.185
price,2010-11-06 00:00:00+00:00,0.326,0.235,0.214,0.193,0.193,0.194,0.193,0.193
price,2010-11-07 00:00:00+00:00,0.405,0.326,0.235,0.214,0.193,0.193,0.194,0.193
price,2010-11-08 00:00:00+00:00,0.294,0.405,0.326,0.235,0.214,0.193,0.193,0.194
price,2010-11-09 00:00:00+00:00,0.237,0.294,0.405,0.326,0.235,0.214,0.193,0.193
price,2010-11-10 00:00:00+00:00,0.225,0.237,0.294,0.405,0.326,0.235,0.214,0.193
price,2010-11-11 00:00:00+00:00,0.227,0.225,0.237,0.294,0.405,0.326,0.235,0.214
price,2010-11-12 00:00:00+00:00,0.249,0.227,0.225,0.237,0.294,0.405,0.326,0.235
price,2010-11-13 00:00:00+00:00,0.282,0.249,0.227,0.225,0.237,0.294,0.405,0.326
price,2010-11-14 00:00:00+00:00,0.278,0.282,0.249,0.227,0.225,0.237,0.294,0.405
price,2010-11-15 00:00:00+00:00,0.274,0.278,0.282,0.249,0.227,0.225,0.237,0.294
price,2010-11-16 00:00:00+00:00,0.246,0.274,0.278,0.282,0.249,0.227,0.225,0.237
price,2010-11-17 00:00:00+00:00,0.226,0.246,0.274,0.278,0.282,0.249,0.227,0.225
price,2010-11-18 00:00:00+00:00,0.245,0.226,0.246,0.274,0.278,0.282,0.249,0.227
price,2010-11-19 00:00:00+00:00,0.274,0.245,0.226,0.246,0.274,0.278,0.282,0.249
price,2010-11-20 00:00:00+00:00,0.282,0.274,0.245,0.226,0.246,0.274,0.278,0.282
price,2010-11-21 00:00:00+00:00,0.277,0.282,0.274,0.245,0.226,0.246,0.274,0.278
price,2010-11-22 00:00:00+00:00,0.28,0.277,0.282,0.274,0.245,0.226,0.246,0.274
price,2010-11-23 00:00:00+00:00,0.283,0.28,0.277,0.282,0.274,0.245,0.226,0.246
price,2010-11-24 00:00:00+00:00,0.283,0.283,0.28,0.277,0.282,0.274,0.245,0.226
price,2010-11-25 00:00:00+00:00,0.281,0.283,0.283,0.28,0.277,0.282,0.274,0.245
price,2010-11-26 00:00:00+00:00,0.282,0.281,0.283,0.283,0.28,0.277,0.282,0.274
price,2010-11-27 00:00:00+00:00,0.284,0.282,0.281,0.283,0.283,0.28,0.277,0.282
price,2010-11-28 00:00:00+00:00,0.277,0.284,0.282,0.281,0.283,0.283,0.28,0.277
price,2010-11-29 00:00:00+00:00,0.254,0.277,0.284,0.282,0.281,0.283,0.283,0.28
price,2010-11-30 00:00:00+00:00,0.219,0.254,0.277,0.284,0.282,0.281,0.283,0.283
price,2010-12-01 00:00:00+00:00,0.219,0.219,0.254,0.277,0.284,0.282,0.281,0.283
price,2010-12-02 00:00:00+00:00,0.242,0.219,0.219,0.254,0.277,0.284,0.282,0.281
price,2010-12-03 00:00:00+00:00,0.251,0.242,0.219,0.219,0.254,0.277,0.284,0.282
price,2010-12-04 00:00:00+00:00,0.23,0.251,0.242,0.219,0.219,0.254,0.277,0.284
price,2010-12-05 00:00:00+00:00,0.205,0.23,0.251,0.242,0.219,0.219,0.254,0.277
price,2010-12-06 00:00:00+00:00,0.215,0.205,0.23,0.251,0.242,0.219,0.219,0.254
price,2010-12-07 00:00:00+00:00,0.213,0.215,0.205,0.23,0.251,0.242,0.219,0.219
price,2010-12-08 00:00:00+00:00,0.239,0.213,0.215,0.205,0.23,0.251,0.242,0.219
price,2010-12-09 00:00:00+00:00,0.213,0.239,0.213,0.215,0.205,0.23,0.251,0.242
price,2010-12-10 00:00:00+00:00,0.202,0.213,0.239,0.213,0.215,0.205,0.23,0.251
price,2010-12-11 00:00:00+00:00,0.216,0.202,0.213,0.239,0.213,0.215,0.205,0.23
price,2010-12-12 00:00:00+00:00,0.214,0.216,0.202,0.213,0.239,0.213,0.215,0.205
price,2010-12-13 00:00:00+00:00,0.22,0.214,0.216,0.202,0.213,0.239,0.213,0.215
price,2010-12-14 00:00:00+00:00,0.238,0.22,0.214,0.216,0.202,0.213,0.239,0.213
price,2010-12-15 00:00:00+00:00,0.242,0.238,0.22,0.214,0.216,0.202,0.213,0.239
price,2010-12-16 00:00:00+00:00,0.244,0.242,0.238,0.22,0.214,0.216,0.202,0.213
price,2010-12-17 00:00:00+00:00,0.245,0.244,0.242,0.238,0.22,0.214,0.216,0.202
price,2010-12-18 00:00:00+00:00,0.245,0.245,0.244,0.242,0.238,0.22,0.214,0.216
price,2010-12-19 00:00:00+00:00,0.244,0.245,0.245,0.244,0.242,0.238,0.22,0.214
price,2010-12-20 00:00:00+00:00,0.254,0.244,0.245,0.245,0.244,0.242,0.238,0.22
price,2010-12-21 00:00:00+00:00,0.25,0.254,0.244,0.245,0.245,0.244,0.242,0.238
price,2010-12-22 00:00:00+00:00,0.247,0.25,0.254,0.244,0.245,0.245,0.244,0.242
price,2010-12-23 00:00:00+00:00,0.249,0.247,0.25,0.254,0.244,0.245,0.245,0.244
price,2010-12-24 00:00:00+00:00,0.249,0.249,0.247,0.25,0.254,0.244,0.245,0.245
price,2010-12-25 00:00:00+00:00,0.249,0.249,0.249,0.247,0.25,0.254,0.244,0.245
price,2010-12-26 00:00:00+00:00,0.257,0.249,0.249,0.249,0.247,0.25,0.254,0.244
price,2010-12-27 00:00:00+00:00,0.258,0.257,0.249,0.249,0.249,0.247,0.25,0.254
price,2010-12-28 00:00:00+00:00,0.272,0.258,0.257,0.249,0.249,0.249,0.247,0.25
price,2010-12-29 00:00:00+00:00,0.286,0.272,0.258,0.257,0.249,0.249,0.249,0.247
price,2010-12-30 00:00:00+00:00,0.296,0.286,0.272,0.258,0.257,0.249,0.249,0.249
price,2010-12-31 00:00:00+00:00,0.3,0.296,0.286,0.272,0.258,0.257,0.249,0.249
price,2011-01-01 00:00:00+00:00,0.296,0.3,0.296,0.286,0.272,0.258,0.257,0.249
price,2011-01-02 00:00:00+00:00,0.297,0.296,0.3,0.296,0.286,0.272,0.258,0.257
price,2011-01-03 00:00:00+00:00,0.293,0.297,0.296,0.3,0.296,0.286,0.272,0.258
price,2011-01-04 00:00:00+00:00,0.297,0.293,0.297,0.296,0.3,0.296,0.286,0.272
price,2011-01-05 00:00:00+00:00,0.294,0.297,0.293,0.297,0.296,0.3,0.296,0.286
price,2011-01-06 00:00:00+00:00,0.299,0.294,0.297,0.293,0.297,0.296,0.3,0.296
price,2011-01-07 00:00:00+00:00,0.309,0.299,0.294,0.297,0.293,0.297,0.296,0.3
price,2011-01-08 00:00:00+00:00,0.316,0.309,0.299,0.294,0.297,0.293,0.297,0.296
price,2011-01-09 00:00:00+00:00,0.323,0.316,0.309,0.299,0.294,0.297,0.293,0.297
price,2011-01-10 00:00:00+00:00,0.325,0.323,0.316,0.309,0.299,0.294,0.297,0.293
price,2011-01-11 00:00:00+00:00,0.327,0.325,0.323,0.316,0.309,0.299,0.294,0.297
price,2011-01-12 00:00:00+00:00,0.323,0.327,0.325,0.323,0.316,0.309,0.299,0.294
price,2011-01-13 00:00:00+00:00,0.318,0.323,0.327,0.325,0.323,0.316,0.309,0.299
price,2011-01-14 00:00:00+00:00,0.359,0.318,0.323,0.327,0.325,0.323,0.316,0.309
price,2011-01-15 00:00:00+00:00,0.393,0.359,0.318,0.323,0.327,0.325,0.323,0.316
price,2011-01-16 00:00:00+00:00,0.393,0.393,0.359,0.318,0.323,0.327,0.325,0.323
price,2011-01-17 00:00:00+00:00,0.368,0.393,0.393,0.359,0.318,0.323,0.327,0.325
price,2011-01-18 00:00:00+00:00,0.331,0.368,0.393,0.393,0.359,0.318,0.323,0.327
price,2011-01-19 00:00:00+00:00,0.313,0.331,0.368,0.393,0.393,0.359,0.318,0.323
price,2011-01-20 00:00:00+00:00,0.351,0.313,0.331,0.368,0.393,0.393,0.359,0.318
price,2011-01-21 00:00:00+00:00,0.405,0.351,0.313,0.331,0.368,0.393,0.393,0.359
price,2011-01-22 00:00:00+00:00,0.427,0.405,0.351,0.313,0.331,0.368,0.393,0.393
price,2011-01-23 00:00:00+00:00,0.443,0.427,0.405,0.351,0.313,0.331,0.368,0.393
price,2011-01-24 00:00:00+00:00,0.431,0.443,0.427,0.405,0.351,0.313,0.331,0.368
price,2011-01-25 00:00:00+00:00,0.415,0.431,0.443,0.427,0.405,0.351,0.313,0.331
price,2011-01-26 00:00:00+00:00,0.414,0.415,0.431,0.443,0.427,0.405,0.351,0.313
price,2011-01-27 00:00:00+00:00,0.415,0.414,0.415,0.431,0.443,0.427,0.405,0.351
price,2011-01-28 00:00:00+00:00,0.434,0.415,0.414,0.415,0.431,0.443,0.427,0.405
price,2011-01-29 00:00:00+00:00,0.442,0.434,0.415,0.414,0.415,0.431,0.443,0.427
price,2011-01-30 00:00:00+00:00,0.462,0.442,0.434,0.415,0.414,0.415,0.431,0.443
price,2011-01-31 00:00:00+00:00,0.5,0.462,0.442,0.434,0.415,0.414,0.415,0.431
price,2011-02-01 00:00:00+00:00,0.626,0.5,0.462,0.442,0.434,0.415,0.414,0.415
price,2011-02-02 00:00:00+00:00,0.713,0.626,0.5,0.462,0.442,0.434,0.415,0.414
price,2011-02-03 00:00:00+00:00,0.706,0.713,0.626,0.5,0.462,0.442,0.434,0.415
price,2011-02-04 00:00:00+00:00,0.766,0.706,0.713,0.626,0.5,0.462,0.442,0.434
price,2011-02-05 00:00:00+00:00,0.88,0.766,0.706,0.713,0.626,0.5,0.462,0.442
price,2011-02-06 00:00:00+00:00,0.91,0.88,0.766,0.706,0.713,0.626,0.5,0.462
price,2011-02-07 00:00:00+00:00,0.895,0.91,0.88,0.766,0.706,0.713,0.626,0.5
price,2011-02-08 00:00:00+00:00,0.904,0.895,0.91,0.88,0.766,0.706,0.713,0.626
price,2011-02-09 00:00:00+00:00,0.998,0.904,0.895,0.91,0.88,0.766,0.706,0.713
price,2011-02-10 00:00:00+00:00,1.03,0.998,0.904,0.895,0.91,0.88,0.766,0.706
price,2011-02-11 00:00:00+00:00,1.025,1.03,0.998,0.904,0.895,0.91,0.88,0.766
price,2011-02-12 00:00:00+00:00,1.045,1.025,1.03,0.998,0.904,0.895,0.91,0.88
price,2011-02-13 00:00:00+00:00,1.051,1.045,1.025,1.03,0.998,0.904,0.895,0.91
price,2011-02-14 00:00:00+00:00,1.055,1.051,1.045,1.025,1.03,0.998,0.904,0.895
price,2011-02-15 00:00:00+00:00,1.053,1.055,1.051,1.045,1.025,1.03,0.998,0.904
price,2011-02-16 00:00:00+00:00,1.048,1.053,1.055,1.051,1.045,1.025,1.03,0.998
price,2011-02-17 00:00:00+00:00,1.043,1.048,1.053,1.055,1.051,1.045,1.025,1.03
price,2011-02-18 00:00:00+00:00,0.965,1.043,1.048,1.053,1.055,1.051,1.045,1.025
price,2011-02-19 00:00:00+00:00,0.893,0.965,1.043,1.048,1.053,1.055,1.051,1.045
price,2011-02-20 00:00:00+00:00,0.899,0.893,0.965,1.043,1.048,1.053,1.055,1.051
price,2011-02-21 00:00:00+00:00,0.833,0.899,0.893,0.965,1.043,1.048,1.053,1.055
price,2011-02-22 00:00:00+00:00,0.86,0.833,0.899,0.893,0.965,1.043,1.048,1.053
price,2011-02-23 00:00:00+00:00,0.905,0.86,0.833,0.899,0.893,0.965,1.043,1.048
price,2011-02-24 00:00:00+00:00,0.968,0.905,0.86,0.833,0.899,0.893,0.965,1.043
price,2011-02-25 00:00:00+00:00,0.941,0.968,0.905,0.86,0.833,0.899,0.893,0.965
price,2011-02-26 00:00:00+00:00,0.935,0.941,0.968,0.905,0.86,0.833,0.899,0.893
price,2011-02-27 00:00:00+00:00,0.924,0.935,0.941,0.968,0.905,0.86,0.833,0.899
price,2011-02-28 00:00:00+00:00,0.875,0.924,0.935,0.941,0.968,0.905,0.86,0.833
price,2011-03-01 00:00:00+00:00,0.89,0.875,0.924,0.935,0.941,0.968,0.905,0.86
price,2011-03-02 00:00:00+00:00,0.93,0.89,0.875,0.924,0.935,0.941,0.968,0.905
price,2011-03-03 00:00:00+00:00,0.926,0.93,0.89,0.875,0.924,0.935,0.941,0.968
price,2011-03-04 00:00:00+00:00,0.906,0.926,0.93,0.89,0.875,0.924,0.935,0.941
price,2011-03-05 00:00:00+00:00,0.91,0.906,0.926,0.93,0.89,0.875,0.924,0.935
price,2011-03-06 00:00:00+00:00,0.905,0.91,0.906,0.926,0.93,0.89,0.875,0.924
price,2011-03-07 00:00:00+00:00,0.878,0.905,0.91,0.906,0.926,0.93,0.89,0.875
price,2011-03-08 00:00:00+00:00,0.878,0.878,0.905,0.91,0.906,0.926,0.93,0.89
price,2011-03-09 00:00:00+00:00,0.858,0.878,0.878,0.905,0.91,0.906,0.926,0.93
price,2011-03-10 00:00:00+00:00,0.899,0.858,0.878,0.878,0.905,0.91,0.906,0.926
price,2011-03-11 00:00:00+00:00,0.885,0.899,0.858,0.878,0.878,0.905,0.91,0.906
price,2011-03-12 00:00:00+00:00,0.899,0.885,0.899,0.858,0.878,0.878,0.905,0.91
price,2011-03-13 00:00:00+00:00,0.896,0.899,0.885,0.899,0.858,0.878,0.878,0.905
price,2011-03-14 00:00:00+00:00,0.894,0.896,0.899,0.885,0.899,0.858,0.878,0.878
price,2011-03-15 00:00:00+00:00,0.882,0.894,0.896,0.899,0.885,0.899,0.858,0.878
price,2011-03-16 00:00:00+00:00,0.863,0.882,0.894,0.896,0.899,0.885,0.899,0.858
price,2011-03-17 00:00:00+00:00,0.835,0.863,0.882,0.894,0.896,0.899,0.885,0.899
price,2011-03-18 00:00:00+00:00,0.833,0.835,0.863,0.882,0.894,0.896,0.899,0.885
price,2011-03-19 00:00:00+00:00,0.771,0.833,0.835,0.863,0.882,0.894,0.896,0.899
price,2011-03-20 00:00:00+00:00,0.753,0.771,0.833,0.835,0.863,0.882,0.894,0.896
price,2011-03-21 00:00:00+00:00,0.76,0.753,0.771,0.833,0.835,0.863,0.882,0.894
price,2011-03-22 00:00:00+00:00,0.784,0.76,0.753,0.771,0.833,0.835,0.863,0.882
price,2011-03-23 00:00:00+00:00,0.83,0.784,0.76,0.753,0.771,0.833,0.835,0.863
price,2011-03-24 00:00:00+00:00,0.849,0.83,0.784,0.76,0.753,0.771,0.833,0.835
price,2011-03-25 00:00:00+00:00,0.875,0.849,0.83,0.784,0.76,0.753,0.771,0.833
price,2011-03-26 00:00:00+00:00,0.869,0.875,0.849,0.83,0.784,0.76,0.753,0.771
price,2011-03-27 00:00:00+00:00,0.825,0.869,0.875,0.849,0.83,0.784,0.76,0.753
price,2011-03-28 00:00:00+00:00,0.809,0.825,0.869,0.875,0.849,0.83,0.784,0.76
price,2011-03-29 00:00:00+00:00,0.796,0.809,0.825,0.869,0.875,0.849,0.83,0.784
price,2011-03-30 00:00:00+00:00,0.791,0.796,0.809,0.825,0.869,0.875,0.849,0.83
price,2011-03-31 00:00:00+00:00,0.787,0.791,0.796,0.809,0.825,0.869,0.875,0.849
price,2011-04-01 00:00:00+00:00,0.775,0.787,0.791,0.796,0.809,0.825,0.869,0.875
price,2011-04-02 00:00:00+00:00,0.778,0.775,0.787,0.791,0.796,0.809,0.825,0.869
price,2011-04-03 00:00:00+00:00,0.78,0.778,0.775,0.787,0.791,0.796,0.809,0.825
price,2011-04-04 00:00:00+00:00,0.729,0.78,0.778,0.775,0.787,0.791,0.796,0.809
price,2011-04-05 00:00:00+00:00,0.7,0.729,0.78,0.778,0.775,0.787,0.791,0.796
price,2011-04-06 00:00:00+00:00,0.744,0.7,0.729,0.78,0.778,0.775,0.787,0.791
price,2011-04-07 00:00:00+00:00,0.751,0.744,0.7,0.729,0.78,0.778,0.775,0.787
price,2011-04-08 00:00:00+00:00,0.752,0.751,0.744,0.7,0.729,0.78,0.778,0.775
price,2011-04-09 00:00:00+00:00,0.74,0.752,0.751,0.744,0.7,0.729,0.78,0.778
price,2011-04-10 00:00:00+00:00,0.743,0.74,0.752,0.751,0.744,0.7,0.729,0.78
